齑沥毳,i基,摸,程蔼,程C,程幡ē婊,挡衡基,害^,Θユq,ゼキ
202408,21900,C,1170,1120,1170,1140,325,2,52
202408,22000,C,1070,910,1070,1060,290,25,167
202408,22100,C,990,900,990,990,265,13,47
202408,22200,C,910,800,905,915,225,16,92
202408,22300,C,860,735,860,860,260,88,142
202408,22400,C,800,665,800,780,245,117,133
202408,22500,C,730,620,720,720,215,137,926
202408,22600,C,670,550,665,665,195,162,474
202408,22700,C,610,505,600,600,167,367,606
202408,22800,C,560,447,550,550,155,368,516
202408,22900,C,505,420,497,497,142,332,308
202408,23000,C,455,362,452,452,138,874,1302
202408,23100,C,408,330,403,403,113,352,989
202408,23200,C,370,290,359,359,106,1095,1598
202408,23300,C,328,270,322,322,91,335,890
202408,23400,C,291,245,284,284,74,381,2094
202408,23500,C,256,219,254,254,73,1234,1740
202408,23600,C,225,169,222,222,54,947,968
202408,23700,C,197,157,194,194,46,1499,2515
202408,23800,C,174,146,171,171,39,1536,1733
202408,21900,P,279,191,206,206,-167,841,1178
202408,22000,P,349,214,230,230,-175,2239,3005
202408,22100,P,330,240,255,255,-196,635,513
202408,22200,P,470,270,280,280,-220,518,1034
202408,22300,P,453,298,320,320,-205,686,1189
202408,22400,P,450,329,346,346,-234,379,528
202408,22500,P,480,364,386,386,-244,2108,1750
202408,22600,P,575,404,423,430,-272,625,1477
202408,22700,P,580,446,468,468,-292,458,666
202408,22800,P,620,488,496,515,-324,171,663
202408,22900,P,715,535,555,555,-325,115,1015
202408,23000,P,745,590,605,605,-335,204,1987
202408,23100,P,750,645,645,670,-365,105,420
202408,23200,P,785,700,710,725,-360,14,2976
202408,23300,P,850,765,765,785,-395,64,381
202408,23400,P,915,820,825,850,-405,51,951
202408,23500,P,1100,895,900,920,-410,45,338
202408,23600,P,1050,965,965,985,-425,16,366
202408,23700,P,1120,1040,1070,1060,-400,91,614
202408,23800,P,1320,1100,1100,1130,-460,46,631
